metric,n,mean_A,mean_B,t,p_ttest,p_wilcoxon,rank_biserial
"Noise % (A=base,B=kernel; lower better)",6999,3.1931510167444106,1.9958373426385623,86.38483619479831,0.0,0.0,1.0
"Silhouette (A=kernel,B=base; higher better)",6965,0.4707455754205726,0.47063730405424,0.12838812149899834,0.8978455383440777,1.7127928551642343e-08,0.07932969875650368
"Davies-Bouldin (A=base,B=kernel; lower better)",6965,0.42940598595247914,0.4528228789509685,-41.215048307409695,0.0,0.0,-0.5812095398298545
