session,timestamp,n_points,dtheta_deg,r_bar_m,alpha,clusters_baseline,clusters_kernel,noise_baseline,noise_kernel,silhouette_baseline,silhouette_kernel,db_baseline,db_kernel
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277059.9594662,98,1.15625,2.48575,0.6759100222795658,7,8,6.122448979591836,3.061224489795918,0.7928488779038326,0.7729246456580314,0.25866787785491935,0.2915696322741731
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277060.117305,268,1.15625,2.056375,0.6816312490090474,10,8,3.7313432835820897,1.492537313432836,0.37531538712301804,0.36691369331944734,0.40736873621606157,0.4934612320441513
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277060.2740448,268,1.15625,2.0585,0.6816064056321213,9,9,3.3582089552238807,0.746268656716418,0.4765844277457735,0.4787919249738505,0.40557315566439045,0.4139573869806233
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277060.431416,268,1.15625,2.056,0.6816356298175819,10,7,3.7313432835820897,1.1194029850746268,0.40537232636282783,0.4110012257665075,0.39869078278420356,0.5009270905959727
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277060.5909574,273,1.15625,2.06075,0.6815800660237787,8,6,3.663003663003663,0.3663003663003663,0.518401178070006,0.4206644501342573,0.41328218812519335,0.5389126101010812
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277060.7489033,271,1.15625,2.05875,0.6816034807802092,8,7,2.5830258302583027,1.1070110701107012,0.5459923345840592,0.4162466102824044,0.4071443145064512,0.4962905321968001
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277060.9067888,270,1.15625,2.05675,0.6816268672057852,11,7,2.5925925925925926,1.8518518518518519,0.29387669638586866,0.4126234678127969,0.4095816292896911,0.49665812904596696
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277061.0667098,271,1.15625,2.059,0.6816005554856276,9,8,3.321033210332103,1.1070110701107012,0.47102329689189104,0.366341597102356,0.4105836339472977,0.5183104302161858
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277061.2238088,268,1.15625,2.05875,0.6816034807802092,10,8,2.611940298507463,1.492537313432836,0.4116677167116068,0.4004693456383138,0.40962220394800186,0.48885930986969367
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277061.3810132,270,1.15625,2.06025,0.6815859223705802,10,9,4.074074074074074,1.1111111111111112,0.36984452816645774,0.4816278415215221,0.40974880432385347,0.41531961173202353
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277061.5414588,267,1.15625,2.05475,0.6816502253311444,10,8,3.3707865168539324,1.1235955056179776,0.4047674386223811,0.5463825899196812,0.39909258235819833,0.4060349267566752
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277061.6990783,272,1.15625,2.058375,0.6816078678920949,9,9,2.9411764705882355,0.7352941176470589,0.4842004453067021,0.5324287940156401,0.4084363861927127,0.43233351935496356
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277061.856117,272,1.15625,2.06025,0.6815859223705802,9,8,4.044117647058823,1.838235294117647,0.4746604325757534,0.3487411367097331,0.4084034338405359,0.5052644713691437
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277062.0162768,265,1.15625,2.05875,0.6816034807802092,10,10,3.018867924528302,0.7547169811320755,0.4244944665350334,0.5029249568462599,0.4046763523339127,0.4186989436937055
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277062.1741135,267,1.15625,2.0555,0.6816414693486226,10,8,2.6217228464419478,1.8726591760299625,0.4588897416060559,0.5342600178897399,0.4285538911469951,0.4069327907086381
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277062.330456,273,1.15625,2.06,0.6815888498794078,9,7,3.2967032967032965,1.465201465201465,0.4799225526505016,0.4072351458091431,0.41026286824179575,0.5025986108798002
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277062.491085,268,1.15625,2.057625,0.6816166391286548,11,9,2.985074626865672,1.492537313432836,0.28888233194273316,0.4948324587898785,0.40909832873338364,0.4088967513406792
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277062.6481576,271,1.15625,2.06025,0.6815859223705802,9,7,3.690036900369004,1.1070110701107012,0.40474210264715477,0.41106219603806377,0.41314983692847035,0.5009588765055812
2025.01.01_LargeRoom_BoxesInLine_03.csv,1767277062.8056571,271,1.15625,2.06,0.6815888498794078,11,8,4.059040590405904,1.845018450184502,0.30636235953893315,0.3593891916552373,0.40717211996906094,0.5012381077601236
