timestamp,quality,angle_deg,distance_mm
1780761285.3951917,15,68.21875,775.5
1780761285.3951917,15,69.625,767.25
1780761285.3951917,15,70.90625,760.0
1780761285.3951917,15,72.375,753.0
1780761285.3951917,15,73.6875,746.0
1780761285.3951917,15,75.03125,740.5
1780761285.3951917,15,76.359375,735.75
1780761285.3951917,15,77.875,730.75
1780761285.3951917,15,79.140625,726.75
1780761285.3951917,15,80.5,722.75
1780761285.3951917,15,81.796875,718.75
1780761285.3951917,15,83.234375,715.0
1780761285.3951917,15,84.46875,712.5
1780761285.3951917,15,85.8125,711.25
1780761285.3951917,15,87.265625,708.75
1780761285.3951917,15,88.46875,706.5
1780761285.3951917,15,89.875,706.0
1780761285.3951917,15,91.21875,706.0
1780761285.3951917,15,92.5625,705.5
1780761285.3951917,15,93.953125,705.5
1780761285.3951917,15,95.15625,705.75
1780761285.3951917,15,96.546875,708.25
1780761285.3951917,15,97.921875,710.5
1780761285.3951917,15,99.3125,711.75
1780761285.3951917,15,100.546875,713.75
1780761285.3951917,15,101.890625,715.75
1780761285.3951917,15,103.21875,718.5
1780761285.3951917,15,104.671875,722.25
1780761285.3951917,15,105.84375,727.0
1780761285.3951917,15,107.3125,731.0
1780761285.3951917,15,108.515625,735.75
1780761285.3951917,15,109.796875,740.75
1780761285.3951917,15,111.234375,746.0
1780761285.3951917,15,112.53125,752.5
1780761285.3951917,15,113.765625,758.0
1780761285.3951917,15,115.1875,764.75
1780761285.3951917,15,116.484375,772.75
1780761285.3951917,15,117.71875,781.5
1780761285.3951917,15,119.0625,789.75
1780761285.3951917,15,120.40625,799.75
1780761285.3951917,15,121.796875,810.75
1780761285.3951917,15,123.0,821.75
1780761285.3951917,15,124.359375,833.75
1780761285.3951917,15,125.703125,846.75
1780761285.3951917,15,126.921875,858.75
1780761285.3951917,15,128.328125,872.25
1780761285.3951917,15,132.453125,768.5
1780761285.3951917,15,133.84375,747.75
1780761285.3951917,15,135.328125,734.5
1780761285.3951917,15,136.640625,740.5
1780761285.3951917,15,137.78125,757.75
1780761285.3951917,15,139.15625,777.5
1780761285.3951917,15,140.46875,799.75
1780761285.3951917,15,141.703125,821.25
1780761285.3951917,15,142.984375,843.25
1780761285.3951917,15,144.34375,868.0
1780761285.3951917,15,147.796875,1231.5
1780761285.3951917,15,149.125,1255.0
1780761285.3951917,15,157.171875,1273.25
1780761285.3951917,15,163.375,2253.5
1780761285.3951917,15,164.71875,2228.0
1780761285.3951917,15,167.40625,2293.0
1780761285.3951917,15,168.734375,2270.5
1780761285.3951917,15,170.078125,2280.0
1780761285.3951917,15,171.40625,2306.25
1780761285.3951917,15,191.46875,2300.0
1780761285.3951917,15,192.8125,2302.75
1780761285.3951917,15,203.53125,2300.75
1780761285.3951917,15,206.203125,2294.25
1780761285.3951917,15,207.546875,2294.25
1780761285.3951917,15,221.859375,924.0
1780761285.3951917,15,223.203125,914.5
1780761285.3951917,15,224.546875,907.25
1780761285.3951917,10,225.984375,907.25
1780761285.3951917,15,235.890625,1759.75
1780761285.3951917,15,237.234375,1744.0
1780761285.3951917,4,238.5625,1719.0
1780761285.3951917,15,241.28125,1673.75
1780761285.3951917,15,243.984375,1594.25
1780761285.3951917,15,245.328125,1589.75
1780761285.3951917,15,246.71875,1571.0
1780761285.3951917,15,248.046875,1551.0
1780761285.3951917,5,249.4375,1547.5
1780761285.3951917,15,250.765625,1538.5
1780761285.3951917,6,252.109375,1529.75
1780761285.3951917,15,253.453125,1505.75
1780761285.3951917,15,254.78125,1481.25
1780761285.3951917,15,256.15625,1476.0
1780761285.3951917,15,257.484375,1465.25
1780761285.3951917,15,258.890625,1450.25
1780761285.3951917,15,262.828125,631.25
1780761285.3951917,15,264.21875,633.75
1780761285.3951917,15,266.921875,1435.0
1780761285.3951917,15,273.75,1239.5
1780761285.3951917,15,275.140625,1218.75
1780761285.3951917,15,276.421875,1203.5
1780761285.3951917,15,277.75,1199.75
1780761285.3951917,15,279.078125,1203.5
1780761285.3951917,15,280.390625,1206.25
1780761285.3951917,15,281.65625,1217.75
1780761285.3951917,15,282.96875,1242.5
1780761285.3951917,15,297.65625,1242.25
