timestamp,quality,angle_deg,distance_mm
1780760927.7678607,15,64.859375,881.75
1780760927.7678607,15,66.25,874.5
1780760927.7678607,15,67.625,867.5
1780760927.7678607,15,68.90625,860.0
1780760927.7678607,15,70.328125,854.0
1780760927.7678607,15,71.703125,846.25
1780760927.7678607,15,73.015625,839.5
1780760927.7678607,15,74.328125,836.0
1780760927.7678607,15,75.703125,831.0
1780760927.7678607,15,79.046875,637.25
1780760927.7678607,15,80.375,636.25
1780760927.7678607,15,81.609375,633.25
1780760927.7678607,15,83.078125,629.75
1780760927.7678607,15,84.4375,627.0
1780760927.7678607,15,85.5625,625.0
1780760927.7678607,15,87.015625,626.25
1780760927.7678607,15,88.28125,627.75
1780760927.7678607,15,89.625,628.5
1780760927.7678607,15,91.046875,632.75
1780760927.7678607,15,93.109375,814.25
1780760927.7678607,15,94.546875,816.0
1780760927.7678607,15,95.796875,817.5
1780760927.7678607,15,97.125,820.0
1780760927.7678607,15,98.4375,824.0
1780760927.7678607,15,99.875,829.75
1780760927.7678607,15,101.15625,834.75
1780760927.7678607,15,102.453125,839.0
1780760927.7678607,15,103.765625,845.75
1780760927.7678607,15,105.0625,852.5
1780760927.7678607,15,106.484375,857.75
1780760927.7678607,15,107.734375,863.75
1780760927.7678607,15,109.015625,870.75
1780760927.7678607,15,110.421875,878.75
1780760927.7678607,15,111.6875,887.0
1780760927.7678607,15,113.09375,895.25
1780760927.7678607,15,114.34375,904.25
1780760927.7678607,15,115.640625,916.0
1780760927.7678607,15,117.03125,927.25
1780760927.7678607,15,118.28125,936.75
1780760927.7678607,15,119.671875,948.75
1780760927.7678607,15,120.953125,961.5
1780760927.7678607,15,122.328125,975.0
1780760927.7678607,15,123.640625,989.5
1780760927.7678607,15,124.90625,1002.75
1780760927.7678607,15,126.25,1018.0
1780760927.7678607,15,127.59375,1034.5
1780760927.7678607,15,128.8125,1056.0
1780760927.7678607,15,130.171875,1079.75
1780760927.7678607,15,131.46875,1104.75
1780760927.7678607,15,132.765625,1128.5
1780760927.7678607,10,134.0625,1148.75
1780760927.7678607,15,135.40625,1174.25
1780760927.7678607,15,136.6875,1200.75
1780760927.7678607,15,138.0,1229.0
1780760927.7678607,15,139.265625,1256.25
1780760927.7678607,15,149.671875,1848.75
1780760927.7678607,10,152.578125,1371.75
1780760927.7678607,12,153.953125,1374.0
1780760927.7678607,15,160.359375,2014.5
1780760927.7678607,15,161.703125,1999.25
1780760927.7678607,15,169.953125,1620.0
1780760927.7678607,15,171.328125,1602.75
1780760927.7678607,15,172.671875,1593.25
1780760927.7678607,15,173.96875,1593.0
1780760927.7678607,15,175.296875,1592.75
1780760927.7678607,15,176.625,1600.5
1780760927.7678607,15,177.96875,1600.25
1780760927.7678607,15,179.296875,1591.0
1780760927.7678607,15,180.625,1592.0
1780760927.7678607,15,181.9375,1592.0
1780760927.7678607,15,188.46875,1952.75
1780760927.7678607,15,206.15625,1447.0
1780760927.7678607,15,207.484375,1442.75
1780760927.7678607,15,208.765625,1465.25
1780760927.7678607,15,215.4375,1485.75
1780760927.7678607,15,218.0625,1569.5
1780760927.7678607,15,223.328125,1795.75
1780760927.7678607,15,224.65625,1759.25
1780760927.7678607,15,227.390625,1733.0
1780760927.7678607,6,228.734375,1698.0
1780760927.7678607,15,233.28125,517.25
1780760927.7678607,15,234.828125,521.0
1780760927.7678607,15,236.03125,522.75
1780760927.7678607,15,237.3125,524.5
1780760927.7678607,15,238.765625,526.75
1780760927.7678607,15,240.078125,529.0
1780760927.7678607,15,241.359375,532.75
1780760927.7678607,15,242.765625,536.75
1780760927.7678607,15,244.03125,540.5
1780760927.7678607,15,245.171875,544.75
1780760927.7678607,15,246.484375,548.75
1780760927.7678607,15,247.921875,553.25
1780760927.7678607,15,249.25,557.75
1780760927.7678607,15,250.4375,563.75
1780760927.7678607,15,251.890625,570.75
1780760927.7678607,15,253.125,577.25
1780760927.7678607,15,254.5625,583.5
1780760927.7678607,15,255.8125,587.5
1780760927.7678607,15,258.46875,1342.75
1780760927.7678607,15,259.84375,1348.5
1780760927.7678607,15,261.15625,1343.75
1780760927.7678607,15,262.5,1343.5
1780760927.7678607,15,263.875,1329.5
1780760927.7678607,15,265.1875,1323.75
1780760927.7678607,4,266.5625,1322.25
1780760927.7678607,15,267.953125,1312.25
1780760927.7678607,3,269.265625,1313.0
1780760927.7678607,15,270.578125,1328.5
1780760927.7678607,15,271.96875,1346.0
1780760927.7678607,15,273.265625,1346.0
1780760927.7678607,15,274.65625,1343.25
1780760927.7678607,15,275.875,1349.5
1780760927.7678607,15,277.1875,1356.5
1780760927.7678607,15,278.546875,1357.75
1780760927.7678607,15,279.90625,1362.25
1780760927.7678607,11,281.1875,1369.75
1780760927.7678607,15,282.5625,1374.75
1780760927.7678607,15,286.515625,1381.5
1780760927.7678607,1,287.875,1382.5
1780760927.7678607,15,290.734375,1227.25
1780760927.7678607,15,292.015625,1216.0
1780760927.7678607,15,293.390625,1220.75
1780760927.7678607,10,294.703125,1218.25
1780760927.7678607,11,296.03125,1232.5
1780760927.7678607,5,297.34375,1250.5
1780760927.7678607,15,302.5,639.5
1780760927.7678607,15,303.984375,642.75
1780760927.7678607,15,312.0,1427.0
1780760927.7678607,15,319.9375,1772.25
1780760927.7678607,15,325.640625,1325.75
1780760927.7678607,15,328.390625,1256.5
1780760927.7678607,15,329.703125,1262.25
1780760927.7678607,15,334.875,1538.75
1780760927.7678607,8,336.25,1529.25
1780760927.7678607,15,337.59375,1505.5
1780760927.7678607,15,338.96875,1480.75
1780760927.7678607,15,340.3125,1468.75
1780760927.7678607,15,344.640625,1093.0
1780760927.7678607,15,346.0625,1099.0
1780760927.7678607,15,347.296875,1113.0
1780760927.7678607,15,348.625,1112.25
1780760927.7678607,15,349.921875,1100.75
1780760927.7678607,15,351.234375,1113.25
1780760927.9019456,15,352.609375,1116.25
1780760927.9019456,15,354.015625,1102.25
1780760927.9019456,15,355.3125,1103.25
1780760927.9019456,15,356.71875,1104.5
1780760927.9019456,15,357.953125,1106.5
1780760927.9019456,15,359.40625,1097.25
1780760927.9019456,15,0.703125,1093.0
1780760927.9019456,15,1.984375,1099.5
1780760927.9019456,15,3.40625,1099.5
1780760927.9019456,15,4.671875,1108.25
1780760927.9019456,15,6.046875,1115.25
1780760927.9019456,15,7.328125,1117.25
1780760927.9019456,15,8.671875,1120.0
1780760927.9019456,15,10.09375,1121.75
1780760927.9019456,15,11.328125,1125.75
1780760927.9019456,15,12.640625,1128.5
1780760927.9019456,15,13.984375,1138.75
1780760927.9019456,15,15.375,1150.0
1780760927.9019456,15,16.734375,1143.5
1780760927.9019456,15,18.0,1141.25
1780760927.9019456,15,19.375,1160.5
1780760927.9019456,15,20.625,1183.75
1780760927.9019456,15,24.046875,2294.25
1780760927.9019456,15,25.40625,2274.0
1780760927.9019456,15,35.03125,1666.75
1780760927.9019456,15,40.796875,1172.75
1780760927.9019456,15,43.5,1127.0
1780760927.9019456,15,46.203125,1075.5
1780760927.9019456,15,47.578125,1053.75
1780760927.9019456,15,48.9375,1032.0
1780760927.9019456,13,50.3125,1014.25
1780760927.9019456,15,51.75,997.5
1780760927.9019456,15,53.125,981.5
1780760927.9019456,15,54.40625,968.0
1780760927.9019456,15,55.75,956.25
1780760927.9019456,15,57.203125,942.5
1780760927.9019456,15,58.46875,930.5
1780760927.9019456,15,59.96875,919.25
1780760927.9019456,15,61.296875,908.75
1780760927.9019456,15,62.59375,900.25
1780760927.9019456,15,63.953125,890.75
1780760927.9019456,15,65.28125,881.5
1780760927.9019456,15,66.65625,874.0
1780760927.9019456,15,68.0,867.5
1780760927.9019456,15,69.4375,860.25
1780760927.9019456,15,70.78125,853.5
1780760927.9019456,15,72.1875,848.25
1780760927.9019456,15,75.296875,647.5
1780760927.9019456,15,76.796875,644.75
1780760927.9019456,15,78.015625,642.0
1780760927.9019456,15,79.46875,638.75
1780760927.9019456,15,80.734375,636.75
1780760927.9019456,15,82.046875,634.0
1780760927.9019456,15,83.5625,629.25
1780760927.9019456,15,84.59375,632.0
1780760927.9019456,15,86.015625,633.75
1780760927.9019456,15,87.328125,634.25
1780760927.9019456,15,89.4375,813.0
1780760927.9019456,15,90.84375,813.5
1780760927.9019456,15,92.203125,814.5
1780760927.9019456,15,93.546875,816.25
1780760927.9019456,15,94.890625,817.75
1780760927.9019456,15,96.171875,819.5
1780760927.9019456,15,97.515625,823.0
1780760927.9019456,15,98.875,827.25
1780760927.9019456,15,100.109375,831.5
1780760927.9019456,15,101.4375,836.25
1780760927.9019456,15,102.84375,843.0
1780760927.9019456,15,104.125,849.75
1780760927.9019456,15,105.390625,855.0
1780760927.9019456,15,106.6875,859.75
1780760927.9019456,15,108.109375,865.75
1780760927.9019456,15,109.390625,873.75
1780760927.9019456,15,110.703125,881.5
1780760927.9019456,15,112.0,890.75
1780760927.9019456,15,113.359375,901.0
1780760927.9019456,15,114.640625,908.75
1780760927.9019456,15,115.921875,918.75
1780760927.9019456,15,117.34375,930.5
1780760927.9019456,15,118.59375,941.25
1780760927.9019456,15,119.953125,954.25
1780760927.9019456,15,121.21875,968.5
1780760927.9019456,15,122.609375,982.0
1780760927.9019456,15,123.828125,995.5
1780760927.9019456,15,125.140625,1010.75
1780760927.9019456,15,126.484375,1025.75
1780760927.9019456,15,127.828125,1045.0
1780760927.9019456,10,129.125,1068.0
1780760927.9019456,15,130.34375,1087.0
1780760927.9019456,15,133.0625,1140.0
1780760927.9019456,15,135.71875,1196.25
1780760927.9019456,15,137.078125,1224.5
1780760927.9019456,15,138.3125,1249.25
1780760927.9019456,15,148.6875,1811.25
1780760927.9019456,15,151.640625,1347.5
1780760927.9019456,15,153.0,1352.75
1780760927.9019456,15,160.75,1983.25
1780760927.9019456,15,170.359375,1580.0
1780760927.9019456,15,171.65625,1571.25
1780760927.9019456,15,173.015625,1571.0
1780760927.9019456,15,177.0625,1570.5
1780760927.9019456,15,178.390625,1570.75
1780760927.9019456,15,179.6875,1570.75
1780760927.9019456,15,181.046875,1570.5
1780760927.9019456,15,182.40625,1570.75
1780760927.9019456,15,187.609375,1904.75
1780760927.9019456,15,218.703125,1539.75
1780760927.9019456,15,223.96875,1795.75
1780760927.9019456,15,230.75,1660.75
1780760927.9019456,15,236.75,495.75
1780760927.9019456,15,238.125,499.25
1780760927.9019456,15,239.390625,501.5
1780760927.9019456,15,240.921875,504.25
1780760927.9019456,15,241.984375,507.5
1780760927.9019456,15,243.390625,510.5
1780760927.9019456,15,244.84375,513.5
1780760927.9019456,15,246.15625,518.0
1780760927.9019456,15,247.359375,523.0
1780760927.9019456,15,248.78125,527.5
1780760927.9019456,15,249.953125,532.5
1780760927.9019456,15,251.421875,538.75
1780760927.9019456,15,252.65625,544.5
1780760927.9019456,15,253.921875,550.25
1780760927.9019456,15,255.296875,556.5
1780760927.9019456,15,256.625,563.25
1780760927.9019456,15,257.90625,572.0
1780760927.9019456,15,259.234375,577.75
1780760927.9019456,2,263.171875,1313.0
1780760927.9019456,3,264.5,1314.0
1780760927.9019456,4,265.859375,1314.0
1780760927.9019456,15,267.171875,1311.75
1780760927.9019456,4,268.546875,1312.0
1780760927.9019456,15,269.828125,1308.0
1780760927.9019456,2,271.1875,1308.0
1780760927.9019456,15,272.5,1328.25
1780760927.9019456,15,273.828125,1343.25
1780760927.9019456,15,275.046875,1347.5
1780760927.9019456,15,276.390625,1353.5
1780760927.9019456,15,277.734375,1358.5
1780760927.9019456,15,279.0625,1360.0
1780760927.9019456,15,280.390625,1362.0
1780760927.9019456,7,281.75,1368.0
1780760927.9019456,15,283.0,1373.5
1780760927.9019456,15,284.390625,1378.0
1780760927.9019456,15,292.484375,1236.75
1780760927.9019456,15,293.828125,1231.25
1780760927.9019456,15,295.171875,1223.5
1780760927.9019456,8,296.5,1223.5
1780760927.9019456,15,297.796875,1238.25
1780760927.9019456,15,299.265625,1249.75
1780760927.9019456,15,304.34375,658.5
1780760927.9019456,14,305.65625,655.25
1780760927.9019456,15,313.84375,1435.25
1780760927.9019456,15,320.359375,1820.5
1780760927.9019456,15,327.34375,1338.5
1780760927.9019456,15,328.640625,1338.0
1780760927.9019456,15,329.984375,1331.75
1780760927.9019456,15,335.234375,1559.0
1780760927.9019456,15,336.578125,1548.75
1780760927.9019456,15,337.953125,1539.25
1780760927.9019456,8,339.234375,1530.0
1780760927.9019456,8,340.625,1528.75
1780760927.9019456,15,344.9375,1128.75
1780760927.9019456,15,346.234375,1133.0
1780760927.9019456,15,347.578125,1143.0
1780760927.9019456,15,348.984375,1145.5
1780760927.9019456,15,350.21875,1145.25
1780760928.039969,15,351.5625,1145.75
1780760928.039969,15,352.9375,1139.0
1780760928.039969,15,354.265625,1132.25
1780760928.039969,15,355.65625,1127.75
1780760928.039969,15,356.9375,1133.25
1780760928.039969,15,358.3125,1140.25
1780760928.039969,15,359.625,1139.0
1780760928.039969,15,1.015625,1142.25
1780760928.039969,15,2.28125,1142.0
1780760928.039969,15,3.59375,1141.75
1780760928.039969,15,4.953125,1143.5
1780760928.039969,15,6.328125,1147.75
1780760928.039969,15,7.65625,1151.25
1780760928.039969,15,8.9375,1155.0
1780760928.039969,15,10.3125,1164.0
1780760928.039969,15,11.625,1165.75
1780760928.039969,15,13.0,1168.25
1780760928.039969,15,14.328125,1186.0
1780760928.039969,15,17.0,1166.75
1780760928.039969,15,18.359375,1181.5
1780760928.039969,15,20.890625,1246.25
1780760928.039969,15,25.796875,2274.25
1780760928.039969,12,27.125,2249.75
1780760928.039969,15,33.984375,1696.5
1780760928.039969,15,39.8125,1177.5
1780760928.039969,15,41.15625,1170.0
1780760928.039969,15,42.546875,1144.75
1780760928.039969,15,43.875,1121.25
1780760928.039969,11,45.203125,1092.75
1780760928.039969,15,46.578125,1069.5
1780760928.039969,15,48.015625,1049.75
1780760928.039969,15,49.40625,1028.25
1780760928.039969,15,50.734375,1009.5
1780760928.039969,15,52.109375,993.25
1780760928.039969,15,53.453125,977.75
1780760928.039969,15,54.828125,964.25
1780760928.039969,15,56.171875,952.75
1780760928.039969,15,57.578125,940.25
1780760928.039969,15,58.859375,928.75
1780760928.039969,15,60.203125,917.25
1780760928.039969,15,61.65625,907.5
1780760928.039969,15,62.984375,899.75
1780760928.039969,15,64.34375,890.25
1780760928.039969,15,65.65625,881.0
1780760928.039969,15,67.0625,873.75
1780760928.039969,15,68.421875,866.5
1780760928.039969,15,69.8125,860.25
1780760928.039969,15,73.09375,655.75
1780760928.039969,15,74.265625,651.25
1780760928.039969,15,75.765625,647.75
1780760928.039969,15,77.015625,644.75
1780760928.039969,15,78.328125,642.75
1780760928.039969,15,79.65625,640.5
1780760928.039969,15,81.046875,637.5
1780760928.039969,15,82.421875,634.75
1780760928.039969,15,83.796875,635.0
1780760928.039969,15,88.5,815.25
1780760928.039969,15,89.90625,815.0
1780760928.039969,15,91.234375,815.0
