timestamp,quality,angle_deg,distance_mm
1780761474.9141781,15,73.46875,785.0
1780761474.9141781,15,74.734375,778.0
1780761474.9141781,15,76.078125,772.0
1780761474.9141781,15,77.484375,766.25
1780761474.9141781,15,78.90625,760.75
1780761474.9141781,15,80.328125,756.0
1780761474.9141781,15,81.671875,751.75
1780761474.9141781,15,83.046875,748.0
1780761474.9141781,15,84.203125,744.5
1780761474.9141781,15,85.609375,741.25
1780761474.9141781,15,86.90625,738.5
1780761474.9141781,15,88.359375,736.75
1780761474.9141781,15,89.578125,736.25
1780761474.9141781,15,90.9375,735.75
1780761474.9141781,15,92.328125,735.25
1780761474.9141781,15,93.65625,735.0
1780761474.9141781,15,94.984375,735.75
1780761474.9141781,15,96.265625,736.75
1780761474.9141781,15,97.609375,737.0
1780761474.9141781,15,99.0625,738.25
1780761474.9141781,15,100.4375,739.5
1780761474.9141781,15,101.609375,742.0
1780761474.9141781,15,103.078125,746.0
1780761474.9141781,15,104.390625,750.0
1780761474.9141781,15,105.78125,753.5
1780761474.9141781,15,107.09375,757.0
1780761474.9141781,15,108.375,761.25
1780761474.9141781,15,109.578125,766.5
1780761474.9141781,15,111.0625,772.25
1780761474.9141781,15,112.21875,778.5
1780761474.9141781,15,113.671875,784.75
1780761474.9141781,15,114.9375,790.25
1780761474.9141781,15,116.25,797.75
1780761474.9141781,15,117.578125,807.25
1780761474.9141781,15,118.984375,814.5
1780761474.9141781,15,120.3125,823.5
1780761474.9141781,15,121.5,834.75
1780761474.9141781,15,122.890625,847.25
1780761474.9141781,15,124.203125,858.25
1780761474.9141781,15,125.515625,869.0
1780761474.9141781,15,126.78125,881.75
1780761474.9141781,15,128.203125,895.25
1780761474.9141781,15,129.40625,910.5
1780761474.9141781,15,130.828125,924.25
1780761474.9141781,15,132.140625,938.0
1780761474.9141781,15,133.484375,955.0
1780761474.9141781,15,134.75,970.25
1780761474.9141781,15,136.140625,989.75
1780761474.9141781,15,137.34375,1010.5
1780761474.9141781,15,138.6875,1026.5
1780761474.9141781,15,141.3125,1078.75
1780761474.9141781,11,145.609375,954.75
1780761474.9141781,15,146.90625,944.0
1780761474.9141781,15,148.234375,955.25
1780761474.9141781,15,164.953125,2218.0
